name,ring,quadrant,isNew,description
Powershell,Assess,Frameworks,TRUE,
"Component Vendors (Telerik, Infragistics, C1, etc.)",Assess,Frameworks,TRUE,
Formik,Assess,Frameworks,TRUE,
.NET Core Web API,Assess,Frameworks,TRUE,
React-table,Assess,Frameworks,TRUE,
F#,Assess,Frameworks,TRUE,
Okta,Assess,Platforms,TRUE,
Azure Cognitive Search,Assess,Platforms,TRUE,
Azure Machine Learning,Assess,Platforms,TRUE,
.NET MAUI,Assess,Platforms,TRUE,
Microsoft App Center,Assess,Platforms,TRUE,
Veracode,Assess,Platforms,TRUE,
Service Mesh,Assess,Platforms,TRUE,
Kafka,Assess,Platforms,TRUE,
RabbitMQ,Assess,Platforms,TRUE,
Meso,Assess,Platforms,TRUE,
Istio,Assess,Platforms,TRUE,
SignalR,Assess,Platforms,TRUE,
Azure GCC / GCC High / DoD / Torus,Assess,Platforms,TRUE,Azure sovereign clouds have restrictions that FDO is assessing
AppSec SAST / DAST / MPT,Assess,Techniques,TRUE,
Patterns: MVC vs MVVM vs ?,Assess,Techniques,TRUE,
Single Sign On (SSO) Techniques,Assess,Techniques,TRUE,
Event-driven architecture,Assess,Techniques,TRUE,"Kafka, RabbitMQ for queues"
Microservice architecture,Assess,Techniques,TRUE,
Domain-driven design,Assess,Techniques,TRUE,
API Gateway,Assess,Techniques,TRUE,
ELK,Assess,Tools,TRUE,"Elasticsearch is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents."
Dynatrace,Assess,Tools,TRUE,"Dynatrace is a software-intelligence monitoring platform that assists in driving performance results by providing development, operations, and business teams with a shared platform, metrics."
DataDog,Assess,Tools,TRUE,"Datadog is an observability service for cloud-scale applications, providing monitoring of servers, databases, tools, and services, through a SaaS-based data analytics platform"
Splunk,Assess,Tools,TRUE,"Splunk Inc. is a software for searching, monitoring, and analyzing machine-generated data via a Web-style interface."
Azure Data Studio,Assess,Tools,TRUE,
WinMerge,Assess,Tools,TRUE,
Virtual Machines,Hold,Platforms,TRUE,
Docker Compose,Hold,Platforms,TRUE,
ARM based deployment,Hold,Tools,TRUE,
Jenkins,Hold,Tools,TRUE,
TeamCity,Hold,Tools,TRUE,
